Wavenumber	Intensity	Normalized Intensity
cm\+(-1)		
Coupled  E1030 = 76uJ		Normalize to [0, 1] of "Intensity"
3614.019245	4.180426913E-5	0.0343489309635685
3614.141688	3.651481165E-5	0.021530381352328
3614.26413	3.26816662E-5	0.0122410798873457
3614.386573	3.281290265E-5	0.0125591202443178
3614.509016	4.183724013E-5	0.0344288333733771
3614.631458	4.897875624E-5	0.0517356893036205
3614.753901	5.354522727E-5	0.0628021428421312
3614.876343	5.047312879E-5	0.0553571738778478
3614.998786	4.101126615E-5	0.0324271557948623
3615.121229	3.738313899E-5	0.023634698690859
3615.243671	3.644067692E-5	0.0213507221494676
3615.366114	3.885262777E-5	0.0271958795682581
3615.488556	4.192281267E-5	0.034636211134423
3615.610999	4.321371671E-5	0.0377646071074805
3615.733442	4.37883391E-5	0.0391571555194482
3615.855884	4.1909836E-5	0.034604763280118
3615.978327	3.835578536E-5	0.0259918243119989
